conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000392181165732e+18,@susipudjiastuti @prabowo Bu Susi bukankah presiden nya ga bisa baca? Saudara kami di Aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan,susipudjiastuti prabowo susi presiden baca saudara aceh kesulitan air bersih bahan pangan langka kelaparan listrik padam serba kekurangan
2.000392181165732e+18,@susipudjiastuti @prabowo Jangan berharap banyak agar tidak kecewa untuk status Bencana Nasional saja keberatan,susipudjiastuti prabowo jangan berharap tidak kecewa status bencana nasional keberatan
2.000392181165732e+18,@susipudjiastuti @prabowo Masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan? ,susipudjiastuti prabowo iya tweet susi dikurasi bubble memyenangkan
2.000392181165732e+18,@susipudjiastuti @prabowo Ga bakal didengerin Bu.. Pola nya masih sama seperti pemerintah 10 thn lalu ga peduli nyawa manusia Indonesia dan pura-pura tuli,susipudjiastuti prabowo didengerin pola pemerintah thn peduli nyawa manusia indonesia pura pura tuli
2.000392181165732e+18,@susipudjiastuti @prabowo Stop dulu semua penebangan sampai waktu yg belum ditentukan,susipudjiastuti prabowo stop penebangan belum ditentukan
2.000392181165732e+18,@susipudjiastuti @prabowo Seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak,susipudjiastuti prabowo dri kerusakan tidak mengambil keputusan bijak
2.000392181165732e+18,@susipudjiastuti @prabowo https://t.co/vYNxd8G52p,susipudjiastuti prabowo
2.000392181165732e+18,@susipudjiastuti @prabowo G akan tersampaikan bu ho pak prabowo nokia 3310,susipudjiastuti prabowo prabowo nokia
2.000392181165732e+18,@susipudjiastuti @prabowo Jadi kieu Bu eta lahan sawit teh loloba na anu urang jadi lamun STOP penebangan uing rugi mangkana dipilah we antara legal jeung ilegal,susipudjiastuti prabowo kieu eta lahan sawit teh loloba urang lamun stop penebangan uing rugi mangkana dipilah legal jeung ilegal
2.000392181165732e+18,@susipudjiastuti @prabowo bu sepertinya pejaba² ini udah ga mau denger.. sebenarnya kita ini sebagai apa di Indonesia ,susipudjiastuti prabowo pejaba denger indonesia
2.000392181165732e+18,@susipudjiastuti @prabowo Nanti bisnis @prabowo lumpuh dong bu? Kan niat jadi presiden emang buat bisnisnya dia.,susipudjiastuti prabowo bisnis prabowo lumpuh niat presiden emang bisnisnya
