full_text_comments,full_text_comments_preprocessed
@susipudjiastuti @prabowo Tangkap Pelakunya dan Adili dengan Benar beres semua .. Keberanian Presiden di Uji ..,tangkap pelakunya adili benar beres semua keberanian presiden uji
@susipudjiastuti @prabowo Bu Susi bukankah presiden nya ga bisa baca? Saudara kami di Aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam dan segalanya serba kekurangan,susi bukankah presiden baca saudara aceh sedang kesulitan air bersih bahan pangan langka kelaparan dimana mana listrik padam segalanya serba kekurangan
@susipudjiastuti @prabowo Jangan berharap banyak agar tidak kecewa untuk status Bencana Nasional saja keberatan,jangan berharap banyak agar kecewa status bencana nasional saja keberatan
@susipudjiastuti @prabowo Masa iya tweet bu susi dikurasi juga supaya bubble bapak memyenangkan? ,masa iya tweet susi dikurasi supaya bubble bapak memyenangkan
@susipudjiastuti @prabowo Ga bakal didengerin Bu.. Pola nya masih sama seperti pemerintah 10 thn lalu ga peduli nyawa manusia Indonesia dan pura-pura tuli,bakal didengerin pola sama pemerintah thn lalu peduli nyawa manusia indonesia pura pura tuli
@susipudjiastuti @prabowo Stop dulu semua penebangan sampai waktu yg belum ditentukan,stop dulu semua penebangan sampai waktu ditentukan
@susipudjiastuti @prabowo Seseorang bagian dri kerusakan itu sendiri tidak akan bisa mengambil keputusan bijak,seseorang bagian dri kerusakan sendiri mengambil keputusan bijak
@susipudjiastuti @prabowo https://t.co/vYNxd8G52p,
@susipudjiastuti @prabowo G akan tersampaikan bu ho pak prabowo nokia 3310,tersampaikan pak prabowo nokia
@susipudjiastuti @prabowo Jadi kieu Bu eta lahan sawit teh loloba na anu urang jadi lamun STOP penebangan uing rugi mangkana dipilah we antara legal jeung ilegal,jadi kieu eta lahan sawit teh loloba anu urang jadi lamun stop penebangan uing rugi mangkana dipilah antara legal jeung ilegal
@susipudjiastuti @prabowo bu sepertinya pejaba² ini udah ga mau denger.. sebenarnya kita ini sebagai apa di Indonesia ,sepertinya pejaba udah denger sebenarnya apa indonesia
@susipudjiastuti @prabowo Nanti bisnis @prabowo lumpuh dong bu? Kan niat jadi presiden emang buat bisnisnya dia.,nanti bisnis lumpuh kan niat jadi presiden emang buat bisnisnya
@susipudjiastuti @prabowo Ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok² Dan sekarang juga lagi ngelakuin hal sama ke salah 1 gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama?,kan salah satu akibat dri orang dulu ibu bantu kampanye sempe pelosok sekarang ngelakuin hal sama salah gub jawa apa takut orangnya melakukan hal sama
@susipudjiastuti @prabowo Udah ga ada yg bisa diharapkan dari Mr. Omon omon bu,udah diharapkan omon omon
@susipudjiastuti @prabowo rajanya omon omon bawahan bilang a percaya aja.,rajanya omon omon bawahan bilang percaya
@susipudjiastuti @prabowo Setuju... Stop sekarang juga,setuju stop sekarang
@susipudjiastuti @prabowo Ini spt jeruk makan jèruk,spt jeruk makan ruk
@susipudjiastuti @prabowo Berharap boleh saja Bu tapi Ibu berharap pada pemimpin yg salah,berharap saja ibu berharap pemimpin salah
@susipudjiastuti @prabowo Gak sampai ke telingganya bun gmana diA mau dengar,sampai telingganya bun gmana dengar
@susipudjiastuti @prabowo mereka tunarungu bu,tunarungu
@susipudjiastuti @prabowo Ibu kira bapak berani? Saya kira bapak ga akan pernah seberani itu bu ,ibu kira bapak berani kira bapak pernah seberani
@ARSIPAJA Habis di bredel langsung menjilat ....najiiss https://t.co/rZ3uWAtC0E,habis bredel langsung menjilat najiiss
@ARSIPAJA Sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja Jawa. Karena raja Jawa lambang kerakusan ketamakan keculasan.,sebenernya dibenci prabowonya semua mendukung hubungannya raja jawa raja jawa lambang kerakusan ketamakan keculasan
@ARSIPAJA Bhaaapppp kok tulisan WARTAWAN https://t.co/BciisdjLKY,bhaaapppp tulisan wartawan
@ARSIPAJA @kompascom klean jadi tim media istana aja jing jilat presiden mulu lah taii!,klean jadi tim media istana jing jilat presiden mulu taii
@ARSIPAJA Sama tim redaksinya @kompascom disebut ga kalau perusahaannya Prabowo turut andil dalam terciptanya malapetaka di Aceh?,sama tim redaksinya disebut perusahaannya prabowo turut andil terciptanya malapetaka aceh
@ARSIPAJA @prabowo omon2 macan ompong memble mau aj dikibulin sama TERMUL,omon macan ompong memble dikibulin sama termul
@ARSIPAJA kompas salah satu kumpulan berita buzzer,kompas salah satu kumpulan berita buzzer
@ARSIPAJA Jaya Suprana mending edit dah pake bahasa yg netral Buruan jaya Suprana keburu nama lu dicari terus dirujak netizen,jaya suprana mending edit dah pake bahasa netral buruan jaya suprana keburu nama dicari terus dirujak netizen
@ARSIPAJA hah kompas dikasih rels begini dapat berapa ratus juta mereka ya,hah kompas dikasih rels begini dapat berapa ratus juta
@ARSIPAJA Kompas loh.... Bikin berita atau siaran pers kehumasan instansi? Wkwkwkwk,kompas bikin berita siaran pers kehumasan instansi wkwkwkwk
@ARSIPAJA Sy pengritik ... Kompas sdh jauh dibawah standar.. dulu langganan harian Kompas skrg baca onlinenya jg dah males,pengritik kompas sdh jauh dibawah standar dulu langganan harian kompas skrg baca onlinenya dah males
@ARSIPAJA Bentar bentar itu yang nulis emang Jaya Suprana???,bentar bentar nulis emang jaya suprana
@ARSIPAJA Media mainstream kok narasinya gini bgt mending jd buzzer aja anjir,media mainstream narasinya gini bgt mending buzzer anjir
@ARSIPAJA #nooticing https://t.co/vnAELwWdzH,nooticing
